Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2022,1,28,3,20,0,-1.1588
2022,1,28,3,30,0,-1.0989
2022,1,28,19,30,0,-9.9994
2022,1,28,19,40,0,-4.9352
2022,1,28,19,50,0,-11.1286
2022,1,28,20,0,0,-8.4852
2022,1,28,20,10,0,-9.0205
2022,1,28,20,20,0,-9.1122
2022,1,28,20,30,0,-8.2302
2022,1,28,20,40,0,-9.4084
2022,1,28,20,50,0,-3.2261
2022,1,28,21,0,0,-5.6785
2022,1,28,21,10,0,-9.5127
2022,1,28,21,20,0,-10.2335
2022,1,28,21,30,0,-5.7783
2022,1,28,21,40,0,-5.3264
2022,1,28,21,50,0,-3.4469
2022,1,28,22,0,0,-2.2639
2022,1,28,22,10,0,-2.2463
2022,1,28,22,20,0,-2.239
2022,1,28,22,30,0,-4.0656
2022,1,28,22,40,0,-5.6822
2022,1,28,22,50,0,-2.5913
2022,1,28,23,0,0,-2.9398
2022,1,28,23,10,0,-2.0589
2022,1,28,23,20,0,-2.5644
2022,1,28,23,30,0,-2.1241
2022,1,28,23,40,0,-1.7042
2022,1,28,23,50,0,-4.1477
2022,1,29,0,0,0,-4.1618
2022,1,29,0,10,0,-2.72
2022,1,29,0,20,0,-3.0691
2022,1,29,0,30,0,-4.5311
2022,1,29,0,40,0,-2.4489
2022,1,29,0,50,0,-1.4841
2022,1,29,1,0,0,-1.2955
2022,1,29,1,10,0,-1.4711
2022,1,29,1,20,0,-1.432
2022,1,29,1,30,0,-1.491
2022,1,29,1,40,0,-1.4399
2022,1,29,1,50,0,-1.2998
2022,1,29,2,0,0,-1.1824
2022,1,29,2,10,0,-2.1384
2022,1,29,2,20,0,-2.6859
2022,1,29,2,30,0,-2.5222
2022,1,29,2,40,0,-2.4355
2022,1,29,2,50,0,-2.2929
2022,1,29,3,0,0,-2.2038
2022,1,29,3,10,0,-1.9609
2022,1,29,3,20,0,-1.6776
2022,1,29,3,30,0,-2.0499
2022,1,29,19,30,0,-2.5747
2022,1,29,19,40,0,-3.1977
2022,1,29,19,50,0,-2.7871
2022,1,29,20,0,0,-3.128
2022,1,29,20,10,0,-2.7687
2022,1,29,20,20,0,-3.0191
2022,1,29,20,30,0,-2.6468
2022,1,29,20,40,0,-2.6831
2022,1,29,20,50,0,-2.4334
2022,1,29,21,0,0,-2.3597
2022,1,29,21,10,0,-2.2786
2022,1,29,21,20,0,-2.5302
2022,1,29,21,30,0,-2.5215
2022,1,29,21,40,0,-2.1377
2022,1,29,21,50,0,-2.3035
2022,1,29,22,0,0,-2.1313
2022,1,29,22,10,0,-2.3681
2022,1,29,22,20,0,-1.9863
2022,1,29,22,30,0,-2.2729
2022,1,29,22,40,0,-2.5932
2022,1,29,22,50,0,-2.6402
2022,1,29,23,0,0,-2.4574
2022,1,29,23,10,0,-2.2444
2022,1,29,23,20,0,-2.5843
2022,1,29,23,30,0,-2.4483
2022,1,29,23,40,0,-2.4588
2022,1,29,23,50,0,-2.3173
2022,1,30,0,0,0,-2.4513
2022,1,30,0,10,0,-2.8381
2022,1,30,0,20,0,-2.4008
2022,1,30,0,30,0,-2.5478
2022,1,30,0,40,0,-2.3434
2022,1,30,0,50,0,-2.6174
2022,1,30,1,0,0,-2.4347
2022,1,30,1,10,0,-2.4874
2022,1,30,1,20,0,-2.1987
2022,1,30,1,30,0,-2.0927
2022,1,30,1,40,0,-2.0304
2022,1,30,1,50,0,-1.9674
2022,1,30,2,0,0,-1.9865
2022,1,30,2,10,0,-1.8268
2022,1,30,2,20,0,-1.4784
2022,1,30,2,30,0,-1.5762
2022,1,30,2,40,0,-1.6286
2022,1,30,2,50,0,-1.7169
2022,1,30,3,0,0,-1.7038
2022,1,30,3,10,0,-1.7615
2022,1,30,3,20,0,-1.9753
2022,1,30,3,30,0,-1.8696
2022,2,11,20,50,0,0.7283
